  Epoch  	  Iteration  	  Time Elapsed  	  Mini-batch Accuracy 	  Mini-batch Loss 	  Base Learning Rate 			  Mini-batch Accuracy 
473	473	       00:00:09 	87.78%	0.2243	1.60E-05			87.78;
474	474	       00:00:09 	87.78%	0.3475	1.60E-05			87.78;
475	475	       00:00:09 	90.00%	0.3476	1.60E-05			90;
476	476	       00:00:09 	90.00%	0.2242	1.60E-05			90;
477	477	       00:00:09 	94.44%	0.1789	1.60E-05			94.44;
478	478	       00:00:09 	92.22%	0.2262	1.60E-05			92.22;
479	479	       00:00:09 	91.11%	0.2294	1.60E-05			91.11;
480	480	       00:00:09 	91.11%	0.1608	1.60E-05			91.11;
481	481	       00:00:09 	90.00%	0.2249	1.60E-05			90;
482	482	       00:00:09 	91.11%	0.1479	1.60E-05			91.11;
483	483	       00:00:10 	90.00%	0.2777	1.60E-05			90;
484	484	       00:00:10 	88.89%	0.3976	1.60E-05			88.89;
485	485	       00:00:10 	91.11%	0.21	1.60E-05			91.11;
486	486	       00:00:10 	90.00%	0.3171	1.60E-05			90;
487	487	       00:00:10 	92.22%	0.149	1.60E-05			92.22;
488	488	       00:00:10 	94.44%	0.1694	1.60E-05			94.44;
489	489	       00:00:10 	92.22%	0.1918	1.60E-05			92.22;
490	490	       00:00:10 	94.44%	0.1766	1.60E-05			94.44;
491	491	       00:00:10 	86.67%	0.4459	1.60E-05			86.67;
492	492	       00:00:10 	90.00%	0.2602	1.60E-05			90;
493	493	       00:00:10 	93.33%	0.3327	1.60E-05			93.33;
494	494	       00:00:10 	90.00%	0.2978	1.60E-05			90;
495	495	       00:00:10 	92.22%	0.1882	1.60E-05			92.22;
496	496	       00:00:10 	92.22%	0.1536	1.60E-05			92.22;
497	497	       00:00:10 	88.89%	0.2704	1.60E-05			88.89;
498	498	       00:00:10 	92.22%	0.2916	1.60E-05			92.22;
499	499	       00:00:10 	85.56%	0.3864	1.60E-05			85.56;
500	500	       00:00:10 	85.56%	0.2682	1.60E-05			85.56;
